002046170,24178/6,"Ballerina in de kleur zwart","DAMESSCHOENEN > BALLERINA'S",SS16,"39 1/2",ZWART,PAOLI,,89.99,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3626141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3627141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3628141216.jpg,#000000
002046171,24178/6,"Ballerina in de kleur zwart","DAMESSCHOENEN > BALLERINA'S",SS16,40,ZWART,PAOLI,,89.99,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3626141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3627141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3628141216.jpg,#000000
002046175,24178/6,"Ballerina in de kleur zwart","DAMESSCHOENEN > BALLERINA'S",SS16,42,ZWART,PAOLI,,89.99,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3626141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3627141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_24178-6/IMG_24178-6.ZWART/IMG_3628141216.jpg,#000000
0020474,193Z00/5,"Instapper Strass in de kleur zilv/blauw","DAMESSCHOENEN > BALLERINA'S","2015 Zomer",38,ZILVER,"LOLA CRUZ",,199.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_193Z00-5/IMG_193Z00-5.ZILV_BLAUW/IMG_3022141216.jpg,#C0C0C0
00204712,193Z00/5,"Instapper Strass in de kleur zilv/rose","DAMESSCHOENEN > BALLERINA'S","2015 Zomer",38,ZILVER,"LOLA CRUZ",,199.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_193Z00-5/IMG_193Z00-5.ZILV_ROSE/IMG_3020141216.jpg,#C0C0C0
0020477,193Z00/5,"Instapper Strass in de kleur zilv/blauw","DAMESSCHOENEN > BALLERINA'S","2015 Zomer",41,ZILVER,"LOLA CRUZ",,199.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_193Z00-5/IMG_193Z00-5.ZILV_BLAUW/IMG_3022141216.jpg,#C0C0C0
00204823,220Z01/5,"Multi Strass Pump in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",38,BLAUW,"LOLA CRUZ",,189.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_220Z01-5/IMG_220Z01-5.BLAUW/IMG_1619141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_220Z01-5/IMG_220Z01-5.BLAUW/IMG_1654141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_220Z01-5/IMG_220Z01-5.BLAUW/IMG_3578141216.jpg,#0000FF
00204840,220Z01/5,"Multi Strass Pump in de kleur beige","DAMESSCHOENEN > PUMPS","2015 Zomer","38 1/2",BEIGE,"LOLA CRUZ",,189.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_220Z01-5/IMG_220Z01-5.BEIGE/IMG_1620141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_220Z01-5/IMG_220Z01-5.BEIGE/IMG_3580141216.jpg,"#F5F5DC "
00204843,220Z01/5,"Multi Strass Pump in de kleur beige","DAMESSCHOENEN > PUMPS","2015 Zomer",40,BEIGE,"LOLA CRUZ",,189.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_220Z01-5/IMG_220Z01-5.BEIGE/IMG_1620141216.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_220Z01-5/IMG_220Z01-5.BEIGE/IMG_3580141216.jpg,"#F5F5DC "
0020524,179Z97/5,"Sandaal Pyth SL/H in de kleur zilver","DAMESSCHOENEN > SANDAAL","2015 Zomer",38,ZILVER,"LOLA CRUZ",,169.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_179Z97-5/IMG_179Z97-5.ZILVER/IMG_3038141216.jpg,#C0C0C0
